Shape code,month code,TOTAL_SF
13,14,2.851284886
13,15,2.753365506
13,12,1.882971009
13,15,1.371614243
16,11,1.023456445
13,13,0.762338096
13,15,0.729698302
18,8,0.664418715
13,14,0.610019059
13,16,0.566499334
17,9,0.381540504
16,11,0.316260916
13,16,0.272741192
17,15,0.272741192
13,10,-0.021016951
13,14,-0.042776813
16,11,-0.064536676
13,11,-0.064536676
16,9,-0.086296538
13,15,-0.086296538
13,8,-0.086296538
13,8,-0.184215919
13,16,-0.216855712
14,10,-0.249495506
13,9,-0.303895162
13,16,-0.358294818
13,12,-0.358294818
13,13,-0.358294818
13,5,-0.369174749
17,10,-0.369174749
13,11,-0.38005468
13,11,-0.390934612
9,2,-0.390934612
9,2,-0.390934612
9,2,-0.401814543
13,16,-0.401814543
13,13,-0.423574405
13,2,-0.423574405
13,2,-0.423574405
13,2,-0.423574405
13,14,-0.423574405
9,12,-0.423574405
12,9,-0.423574405
13,14,1.134271599
14,16,-0.425386556
13,8,4.905259968
14,16,0.008216279
13,12,1.154015619
13,9,0.446820091
16,14,-0.162456056
17,9,-0.314775093
13,11,-0.347414887
13,14,0.642722067
17,9,0.03681034
17,9,-0.075395535
17,9,-0.075395535
17,9,-0.075395535
17,11,-0.277366111
13,12,-0.389571986
13,12,-0.412013161
13,16,0.349069282
13,16,-0.32835218
13,16,-0.080902227
18,11,-0.40453277
9,6,-0.40453277
16,5,-0.405895395
16,6,-0.417456639
13,10,-0.417906165
13,14,-0.419493553
13,6,-0.419493553
13,13,-0.419493553
13,9,-0.423117855
17,6,-0.424705244
13,8,-0.426517395
13,9,-0.426973945
13,9,-0.427205732
13,9,-0.427655257
16,9,-0.429692172
13,7,-0.430373484
13,13,0.350986791
13,15,0.321065224
17,16,0.283663266
16,9,-0.045473968
17,8,-0.075395535
16,16,-0.075395535
5,15,-0.075395535
10,15,-0.075395535
16,8,0.145799296
13,15,-0.254924936
13,11,-0.366449499
18,12,-0.38005468
15,9,-0.382772907
15,13,-0.397733691
13,8,-0.403851457
13,13,-0.409287911
13,9,-0.412013161
17,13,-0.412013161
16,9,-0.416094014
16,9,-0.433091711
16,10,-0.433091711
13,9,-0.433091711
13,9,-0.433091711
13,9,-0.433091711
13,13,-0.433091711
13,9,-0.433773024
13,11,-0.433773024
13,9,-0.433773024
13,9,-0.433773024
13,11,-0.433773024
13,11,-0.433773024
13,11,-0.405143844
13,11,-0.43173611
13,11,-0.43173611
17,12,-0.43173611
13,15,-0.43173611
13,7,-0.43173611
13,9,-0.43173611
13,2,-0.43173611
13,12,-0.43173611
14,14,-0.432642185
13,2,-0.432642185
13,14,-0.238756052
17,14,-0.414211624
13,8,-0.427704424
13,14,-0.392311285
13,8,2.6119264
13,12,1.752411835
13,15,1.404254037
13,8,1.371614243
18,15,1.371614243
9,8,1.349854381
9,9,1.012576513
9,9,0.97993672
9,9,0.97993672
9,16,0.97993672
17,15,0.969056789
16,16,0.958176857
13,15,0.958176857
13,8,0.947296926
13,9,0.610019059
13,9,0.610019059
13,9,0.610019059
