Shape,Shape code,Color,MMYYYY,AVG,TOTAL_SF
"12""x24""",13,FB03-Taupe,92016,0.97,61.96
"12""x24""",13,FB03-Taupe,122016,0.97,61.96
"2""x2""",1,NB50-Super White,72017,4.19,60.99
"6""x12""",7,MS02-Ivory,22017,13.5,60
"6""x12""",7,MS02-Ivory,12017,13.5,60
"4""x12""",5,AE04-Dark Gray,42017,5.55,58.73
"2""x2""",1,MS02-Ivory,42017,3.99,58.09
"4""x12""",5,MA01-Statuary,42017,6.32,55.84
"3""x6""",3,MS03-Light Gray,22017,0,53.53
"3""x6""",3,MS03-Light Gray,72017,4.29,53.53
"12""x12""",9,NB51-Avorio,112016,2.19,53.25
"4""x12""",5,FB03-Taupe,42017,6.17,53.25
"4""x12""",5,FB04-Black,42017,6.17,53.25
"4""x12""",5,FB02-Silver,42017,6.17,53.25
"4""x12""",5,FB01-Ivory,42017,6.17,53.25
"4""x12""",5,OR02-Beige,82017,4.32,52.6
"2""x2""",1,MA01-Statuary,12017,3.6,52.28
"4""x12""",5,MA02-Daino Reale,62017,6.58,50.67
"2""x2""",1,NB50-Super White,62017,4.19,50.34
"6""x12""",7,NB13-Toffee,82017,11.5,50
"2""x2""",1,NB56-Grigio,102016,4.09,49.38
"6""x12""",7,NB58-Nero,92017,13.5,47.5
"3""x6""",3,MA03-Frost,112016,3.82,46.67
"12""x24""",13,CR02-Blue Gray,52017,1.79,46.47
"12""x24""",13,MS05-Dark Gray,92016,1.08,46.47
"12""x24""",13,MS03-Light Gray,82017,2.29,46.47
"12""x24""",13,MS03-Light Gray,92016,1.08,46.47
"12""x24""",13,MS01-White,92016,1.08,46.47
"12""x24""",13,CR03-Brown Blend,52017,1.79,46.47
"12""x24""",13,MA02-Daino Reale,102016,0.76,46.47
"12""x24""",13,OR02-Beige,102016,0.67,46.47
"12""x24""",13,MS06-Black,102016,1.08,46.47
"12""x24""",13,MS06-Black,92016,1.08,46.47
"12""x24""",13,MA01-Statuary,102016,1.22,46.47
"12""x24""",13,MS04-Toffee,92016,1.08,46.47
"12""x24""",13,AC03-Greige,12017,0.89,46.47
"12""x24""",13,TS01-Beige,12017,0.6,46.47
"12""x24""",13,FB01-Ivory,112016,2.09,46.47
"12""x24""",13,CR01-Ivory Blend,52017,1.79,46.47
"12""x24""",13,MS01-White,102016,1.08,46.47
"12""x24""",13,MS02-Ivory,92016,1.08,46.47
"12""x24""",13,MS02-Ivory,112016,2.19,46.47
"24""x24""",17,FB03-Taupe,72017,1.99,46.47
"24""x24""",17,MS01-White,82017,2.19,46.47
"4""x12""",5,MA01-Statuary,82017,5.55,45.5
"3""x6""",3,MA02-Daino Reale,122016,3.79,45.29
"4""x12""",5,MA05-Emperador Light,82017,7.1,45.18
"4""x12""",5,MS05-Dark Gray,72017,6.79,43.57
"4""x12""",5,AE02-Light Gray,92017,5.55,43.57
"4""x12""",5,MA04-Marfil,82017,5.55,43.57
"2""x2""",1,NB51-Avorio,12017,2.99,43.57
"18""x18""",15,PR01-Bianco,112016,1.6,43.48
"18""x18""",15,PR01-Bianco,92016,1.03,43.48
"12""x12""",9,MA03-Frost,22017,1.59,42.6
"4""x12""",5,NB10-Ivory,12017,5.55,42.6
"4""x12""",5,MS02-Ivory,32017,6.79,42.6
"4""x12""",5,MA06-Bardigio,72017,7.1,42.6
"4""x12""",5,NB51-Avorio,12017,6.79,42.6
"6""x24""",10,FB03-Taupe,72017,2.09,42.6
"6""x24""",10,OR04-Taupe,72017,1.59,42.6
"6""x24""",10,FB04-Black,52017,2.09,42.6
"4""X18""",8,PR01-Bianco,62017,10.24,42.23
"8""x8""",6,NB21-Eyelet Deco,12017,8.7,41.73
"4""x12""",5,MA03-Frost,12017,7.87,40.66
"18""x36""",18,AE04-Dark Gray,72017,2.19,39.39
"4""x12""",5,OR03-Gray,82017,6.87,37.44
"2""x2""",1,MA01-Statuary,112016,3.6,36.79
"8""x8""",6,CR01-Ivory Blend,22017,0.95,36.15
"8""x8""",6,CR03-Brown Blend,22017,0.95,36.15
"2""x2""",1,MA03-Frost,12017,3.6,35.83
"3""x6""",3,MA03-Frost,102016,3.89,35.69
"2""x2""",1,NB50-Super White,82017,4.19,34.85
"2""x2""",1,TS01-Beige,72017,3.29,34.85
"4""x12""",5,MA01-Statuary,92017,5.55,34.21
"2""x2""",1,MA02-Daino Reale,92016,3.6,33.89
"2""x2""",1,NB58-Nero,62017,3.99,32.91
"4""x12""",5,OR03-Gray,52017,8.64,32.27
"12""x12""",9,TM03-Noce,102016,1.19,31.95
"12""x12""",9,MA03-Frost,12017,1.59,31.95
"4""x12""",5,MA03-Frost,22017,5.55,31.95
"4""x12""",5,NB10-Ivory,22017,5.55,31.95
"4""x12""",5,OR02-Beige,92017,8.64,31.95
"6""x24""",10,FB03-Taupe,52017,2.09,31.95
"6""x24""",10,FB03-Taupe,122016,2.19,31.95
"6""x24""",10,FB02-Silver,122016,2.19,31.95
"6""x24""",10,NB51-Avorio,42017,2.39,31.95
"2""x2""",1,TS01-Beige,92017,3.29,31.95
"2""x2""",1,MA01-Statuary,32017,3.6,31.95
"2""x2""",1,TS03-Dark Gray,12017,3.29,31.95
"2""x2""",1,MA05-Emperador Light,12017,3.6,31.95
"12""x24""",13,AC02-Light Gray,22017,0.89,30.98
"12""x24""",13,TM02-Gray,92016,0.54,30.98
"12""x24""",13,NB58-Nero,102017,2.19,30.98
"12""x24""",13,NB58-Nero,52017,2.19,30.98
"12""x24""",13,NB58-Nero,22017,1.05,30.98
"12""x24""",13,AC02-Light Gray,92016,0.89,30.98
"12""x24""",13,AE02-Light Gray,72017,1.74,30.98
"12""x24""",13,TS02-Light Gray,22017,0.6,30.98
"12""x24""",13,TS02-Light Gray,92016,0.6,30.98
"12""x24""",13,AC04-Flamed Gray,22017,0.89,30.98
"12""x24""",13,AC04-Flamed Gray,92016,0.89,30.98
"12""x24""",13,CR01-Ivory Blend,92016,0.87,30.98
"12""x24""",13,CR01-Ivory Blend,122016,0.85,30.98
"12""x24""",13,CR03-Brown Blend,22017,0.84,30.98
"12""x24""",13,CR03-Brown Blend,92016,0.87,30.98
"12""x24""",13,CR03-Brown Blend,122016,0.85,30.98
"12""x24""",13,MA02-Daino Reale,92016,0.77,30.98
"12""x24""",13,NB53-Silver Gray,92016,1.05,30.98
"12""x24""",13,MA05-Emperador Light,92016,0.77,30.98
"12""x24""",13,TM03-Noce,92016,0.54,30.98
"12""x24""",13,AC01-Taupe,92016,0.89,30.98
"12""x24""",13,FB03-Taupe,102016,0.97,30.98
"12""x24""",13,FB04-Black,102016,0.97,30.98
"12""x24""",13,MA03-Frost,92016,0.77,30.98
"12""x24""",13,NB01-Ivory,92016,0.7,30.98
"12""x24""",13,NB02-Beige,92016,0.7,30.98
"12""x24""",13,NB14-Black,92016,0.7,30.98
"12""x24""",13,OR01-Ivory,92016,0.68,30.98
"12""x24""",13,OR02-Beige,112016,1.39,30.98
"12""x24""",13,OR04-Taupe,92016,0.68,30.98
"12""x24""",13,OR04-Taupe,102016,0.67,30.98
"12""x24""",13,OR04-Taupe,122016,0.4,30.98
"12""x24""",13,TM01-Beige,92016,0.54,30.98
"12""x24""",13,TS01-Beige,22017,0.6,30.98
"12""x24""",13,TS01-Beige,92016,0.6,30.98
"12""x24""",13,AC03-Greige,122016,0.89,30.98
"12""x24""",13,FB02-Silver,102016,0.97,30.98
"12""x24""",13,MA04-Marfil,92016,0.77,30.98
"12""x24""",13,NB51-Avorio,92016,1.05,30.98
"12""x24""",13,NB56-Grigio,92016,1.05,30.98
"12""x24""",13,NB54-Ash Gray,92016,1.05,30.98
"12""x24""",13,CR02-Blue Gray,92016,0.87,30.98
"12""x24""",13,NB04-Dark Gray,92016,0.7,30.98
"12""x24""",13,TS03-Dark Gray,22017,0.6,30.98
"12""x24""",13,NB03-Gray,92016,0.7,30.98
"12""x24""",13,NB55-Blue,92016,1.05,30.98
"12""x24""",13,NB55-Blue,112016,2.19,30.98
"24""x24""",17,MS02-Ivory,62017,2.19,30.98
"24""x24""",17,MS06-Black,52017,2.19,30.98
"24""x24""",17,AC03-Greige,92017,1.89,30.98
"24""x24""",17,FB02-Silver,82017,1.99,30.98
"4""x12""",5,OR03-Gray,42017,5.55,30.66
"2""x2""",1,MS02-Ivory,62017,3.99,30.01
"2""x2""",1,MA01-Statuary,92016,3.6,30.01
