Shape,Shape code,Color,MMYYYY,AVG,TOTAL_SF
"8""x8""",6,NB15-Diamond Deco,12017,5.8,3.87
"8""x8""",6,NB22-Scroll Deco,12017,5.8,3.87
"8""x8""",6,NB18-Bowtie Deco,12017,5.8,3.87
"8""x8""",6,NB17-Clover Deco,12017,5.8,3.87
"8""x8""",6,NB23-Cubes Deco,12017,5.8,3.87
"4""x12""",5,OR04-Taupe,32017,8.64,3.23
"1.2""X24""",4,DE11-Bronze,32017,20.57,2.92
"1.2""X24""",4,DE12-Silver,42017,20.57,2.92
"2""x2""",1,MS03-Light Gray,32017,3.36,2.91
"2""x2""",1,TS03-Dark Gray,32017,1.65,2.91
"3""x6""",3,MS05-Dark Gray,32017,3.22,2.74
"4""x12""",5,PR01-Bianco,42017,6.79,2.58
"8""x8""",6,NB24-Beige,12017,5.8,2.58
"8""x8""",6,NB27-Black,42017,5.8,2.58
"8""x8""",6,NB26-Dark Gray,12017,5.8,2.58
"8""x8""",6,NB25-Red Brown,42017,5.8,2.58
"8""x8""",6,CR01-Ivory Blend,62017,13.94,2.58
"8""x8""",6,CR03-Brown Blend,62017,13.94,2.58
"4""X18""",8,PR01-Bianco,22017,10.24,2.29
