"Series","Shape","Color","TOTAL_SF"
"Preeminent","Waterjet Mosaic","PR01-Bianco","5467.4"
"NO.12","24""x24""","NB58-Nero","5266.6"
"Marble Folio","2""x2""","MA01-Statuary","5210.76"
"Orvieto","24""x24""","OR02-Beige","4941.31"
"Fabric Folio","6""x24""","FB02-Silver","4696.65"
"Venado","12""x24""","VN01-Beige","4585.04"
"Orvieto","24""x24""","OR03-Gray","4538.57"
"Fabric Folio","6""x24""","FB03-Taupe","4504.95"
"Marble Folio","24""x24""","MA05-Emperador Light","4399.16"
"NO.12","12""x12""","NB53-Silver Gray","4377.15"
"B+W Glazed Porcelain Mosaics","Lantern","BW01-White Matte","4322.37"
"NO.12","12""x24""","NB56-Grigio","4306.22"
"Carrington","8""x24""","CR02-Blue Gray","4286.12"
"Marble Folio","4""x12""","MA01-Statuary","4277.73"
"B+W Glazed Porcelain Mosaics","3/4"" Penny Round","BW01-White Matte","4257.91"
"NO.12","12""x12""","NB54-Ash Gray","4132.2"
"Aegean","6""x36""","AE02-Light Gray","3985.66"
"Venado","12""x24""","VN03-Noce","3965.44"
"NO.12","12""x24""","NB52-Beige","3795.05"
"NO.5","24""x48""","NB03-Gray","3764.07"
"Aegean","18""x36""","AE02-Light Gray","3742.05"
"Fabric Folio","6""x24""","FB04-Black","3663.6"
"B+W Glazed Porcelain Mosaics","Basket Weave","BW03-Black & White Mixed","3622.27"
"NO.12","12""x12""","NB51-Avorio","3557.1"
"NO.9","4""x12""","NB13-Toffee","3555.2"
"Orvieto","6""x24""","OR01-Ivory","3376.05"
"Marble Folio","24""x24""","MA06-Bardigio","3345.84"
"NO.12","12""x24""","NB57-Tobacco","3283.88"
"NO.12","6""x24""","NB54-Ash Gray","3226.95"
"Aegean","6""x36""","AE01-Ivory","3195.5"
"Aegean","6""x36""","AE03-Light Brown","3149.02"
"B+W Glazed Porcelain Mosaics","2"" Octagon","BW03-Black & White Mixed","3130.93"
"NO.12","12""x24""","NB55-Blue","3082.51"
"NO.12","12""x12""","NB52-Beige","3003.3"
"Fabric Folio","24""x24""","FB02-Silver","2989.57"
"Marble Folio","3""x6""","MA01-Statuary","2964.6"
"Preeminent","4""X18""","PR01-Bianco","2797.06"
"Mars Stone","2""x2""","MS03-Light Gray","2793.21"
"Marble Folio","32""x32""","MA04-Marfil","2790.45"
"Fabric Folio","24""x24""","FB01-Ivory","2788.2"
"B+W Glazed Porcelain Mosaics","Basket Weave","BW01-White Matte","2777.21"
"B+W Glazed Porcelain Mosaics","2""x4"" Brick","BW01-White Matte","2747.31"
"B+W Glazed Porcelain Mosaics","2""x8"" Brick","BW01-White Matte","2724.81"
"B+W Glazed Porcelain Mosaics","2"" Hex","BW03-Black & White Mixed","2721.51"
"Marble Folio","2""x2""","MA02-Daino Reale","2718.65"
"B+W Glazed Porcelain Mosaics","Plain Loft","BW01-White Matte","2716.29"
"Aegean","12""x12""","AE03-Light Brown","2651.85"
"Arcadia","24""x24""","AC03-Greige","2633.3"
"Orvieto","6""x24""","OR02-Beige","2609.25"
"Arcadia","12""x24""","AC04-Flamed Gray","2602.32"
"Marble Folio","4""x12""","MA02-Daino Reale","2526.98"
"Marble Folio","12""x12""","MA05-Emperador Light","2513.4"
"Fabric Folio","24""x24""","FB03-Taupe","2493.89"
"NO.9","8""x24""","NB12-Dark Gray","2427.08"
"NO.12","24""x24""","NB56-Grigio","2416.44"
"Aegean","12""x12""","AE01-Ivory","2257.8"
"Marble Folio","2""x2""","MA03-Frost","2106.79"
"Fabric Folio","24""x24""","FB04-Black","2091.15"
"Time","24""x24""","TM01-Beige","2044.68"
"Aegean","2""x4"" Soldier Mosaic","AE02-Light Gray","2038.05"
"Townscape","2""x2""","TS03-Dark Gray","2024.48"
"B+W Glazed Porcelain Mosaics","2""x6"" Brick","BW01-White Matte","1995.78"
"B+W Glazed Porcelain Mosaics","2"" Octagon","BW01-White Matte","1952.5"
"Marble Folio","2""x2""","MA04-Marfil","1949.94"
"B+W Glazed Porcelain Mosaics","1""x3"" Mini Brick","BW01-White Matte","1919.01"
"Marble Folio","3""x6""","MA02-Daino Reale","1884.44"
"Marble Folio","4""x12""","MA03-Frost","1878.58"
"NO.12","24""x24""","NB51-Avorio","1812.33"
"Aegean","18""x36""","AE04-Dark Gray","1798.81"
"Carrington","12""x24""","CR03-Brown Blend","1750.37"
"Marble Folio","12""x12""","MA06-Bardigio","1735.95"
"Townscape","2""x2""","TS02-Light Gray","1682.72"
"Aegean","2""x4"" Soldier Mosaic","AE04-Dark Gray","1673.99"
"Aegean","4""x12""","AE01-Ivory","1661.73"
"Arcadia","24""x24""","AC02-Light Gray","1626.45"
"Time","24""x24""","TM02-Gray","1626.45"
"Carrington","24""x24""","CR01-Ivory Blend","1610.96"
"Aegean","2""x4"" Soldier Mosaic","AE01-Ivory","1520.07"
"NO.9","24""x24""","NB10-Ivory","1502.53"
"NO.12","6""x24""","NB56-Grigio","1491"
"Orvieto","24""x24""","OR04-Taupe","1487.04"
"B+W Glazed Porcelain Mosaics","Curve","BW01-White Matte","1474.79"
"Aegean","18""x36""","AE03-Light Brown","1391.78"
"Aegean","12""x12""","AE04-Dark Gray","1384.5"
"NO.9","24""x24""","NB14-Black","1378.61"
"Marble Folio","2""x2""","MA06-Bardigio","1339.96"
"Mars Stone","24""x24""","MS03-Light Gray","1332.14"
"Townscape","4""x12""","TS01-Beige","1312.52"
"NO.12","24""x24""","NB59-Super Black","1285.67"
"NO.9","24""x48""","NB14-Black","1285.67"
"Fabric Folio","Waterjet Mosaic","FB02-Silver","1279.92"
"B+W Glazed Porcelain Mosaics","Curve","BW03-Black & White Mixed","1278.46"
"NO.12","12""x12""","NB57-Tobacco","1278"
"NO.12","24""x24""","NB52-Beige","1270.18"
"Townscape","2""x2""","TS01-Beige","1265.42"
